seller,quantity_sold,seller_sales
"Hertz Car Exchange Inc/Montgomery",4,80101
"Onesource/Atlanta Toyota",6,80100
"Augusta Metro Fcu",7,80100
"Claridon Resale Cars",11,80100
"Exotic Auto Sales",6,80100
"Budget Rent A Car/Port Angeles",6,80000
"Park Ford Of Mahopac Inc",9,80000
"Earth Motorcars Llc",1,80000
"Smothers European",2,80000
"Car Masters Corp",8,79900
"Hyundai Of Auburn Inc",6,79800
"Cadillac Of South Charlotte",13,79750
"Remarketing By Ge/Kemba Financial Credit Union",8,79700
"Northwoods Ford Inc",3,79700
"M & T Bank",10,79700
"Jim Hudson Ford",8,79600
"Tinker Fcu",6,79600
"Roberts Nissan Inc.",5,79600
"Classic Cars & Trucks Inc",4,79550
"Sherman Dodge",19,79525
"Kuehn Motor Co Inc",3,79500
"New England Performance Cars Llc",5,79500
"Mb Automotive Corp",2,79500
"Taylor Infiniti Bmw Hyundai",3,79500
"Q Auto",9,79500
"Orlando Motors Inc",4,79500
"Lansdale Chrysler Dodge Jeep Ram",7,79400
"Craig Toyota",5,79300
"Viva Dodge Chrysler & Jeep",3,79250
"Jakes Motorcars",1,79250
"North Island Fcu",10,79150
"Plutus Motor Group Llc",2,79100
"Dick Barbour Performance Llc",1,79000
"Repo Remarketing/Whatcom Educational Credit Unio",14,78950
"Russ Darrow Leasing Co Inc",2,78933
"Mcmahon Leasing/Mcmahon Motors",12,78900
"Bert Ogden Infiniti",2,78900
"West Financial Acceptance",6,78900
"Clutch Georgia Llc",3,78900
"Onemain Rem/Network Sales And Leasing",8,78800
"Uncle Ang Auto Sales",5,78800
"Future Finance Company Inc/Oak Forest",18,78750
"Land Rover Sls & Service Of Hoffman Estates Inc",4,78750
"Wildwood Motors",5,78700
"America's United Financial Llc",28,78600
"Bobby Ford Inc",3,78600
"L & B Auto Sales Corp",5,78600
"Del-one Fcu",9,78550
"Scheidemantle Motors",6,78500
"Flag/Dash Motors Inc",5,78500
"Go Rentals",1,78500
"Manheim Pittsburgh",7,78500
"Select Luxury Cars",5,78450
"Remarketing By Ge/Gaia Llc",44,78450
"Anderson Toyota Scion",5,78450
"Tcar Recovery And Remarketing",13,78350
"Jr Used Cars",7,78350
"Vci/Commonwealth Audi Volkswagen",4,78250
"Palm Desert Auto",3,78200
"Bill Holt Chevrolet Buick And Gmc Inc",4,78100
"Nevada Auto Wholesalers",6,78100
"Cj Wilson Mazda Of Ventura",6,78050
"Trg Sales Inc",3,78050
"Primeritus Remarketing/Crown Cork And Sea",7,77900
"Subaru Of Orange Park",4,77900
"Subaru Of Clear Lake",17,77850
"Street Track-n-trail Inc",12,77600
"Fredy Kia",5,77600
"Sheridan Ford Sales",7,77600
"E & L Motors Corp",6,77600
Autoworks,5,77540
"Onemain Rem/West Financial Acceptance",9,77500
"Ewald Fleet Solution",6,77400
"Hyundai Of Cookeville",6,77400
"Dover Fcu",12,77300
"C & F Remarketing Llc",10,77300
"Jerry Ulm Dodge Chrysler Jeep",2,77300
"Klasse Auto",2,77250
"Remarketing By Ge/Manheim Louisville",7,77200
"Mercedes Benz Of Calabasas",5,77150
"Brad Deery Motors Inc",5,77100
"Napleton's Volkswagen Of Orlando",6,77100
"Blackhawk Finance",43,76975
"Southwest Auto Inc",6,76900
"Honda Of Stevens Creek",13,76900
"Crosby Nissan Sales",4,76900
"Palmetto Chevrolet Co Inc",3,76900
"Boggess Automotive Group Llc",4,76900
"Wholesale Enterprises Inc",5,76900
"Acr (Atlanta Car Remarketing Inc)",5,76850
"Big Billy A/S Llc",6,76800
"Fratelli Auto Repair",13,76800
"Budget Rent A Car Of Harrisburg Pa",4,76700
"Ams Financial Group/Auto King Inc/Sensible Car R",26,76650
"Ridenour Auto Group",5,76600
"Redline Motorsports Inc.",1,76500
"Onemain Rem/Automotive Restyling Concepts Inc",11,76450
"Cherry Hill Classic Cars",5,76400
"Remarketing By Ge/Usa Brokers",6,76400
"Primeritus Remarketing/Austin Century Auto Sales",11,76400
"Hyundai Of Newport",17,76325
"Manheim Resale Llc",14,76300
"Amherst Autoplace Inc",6,76300
"Keystone Acquisition Bureau",4,76200
"Dan Deery Rental",5,76100
"Lithia Hyundai Of Fresno",19,76100
"University Of Iowa Community Credit Union",8,76100
"Nissan Of Athens",5,76100
"Ascend Federal Credit Union",11,76100
"Volvo Of Orange County",3,76000
"Desert Fleet Lease",16,75950
"Southern Motors Honda",5,75900
"Toyota Of Tampa Bay",3,75900
"Sac Federal Credit Union",5,75900
"Primeritus Remarketing/Oregon Comm Credit",8,75900
"Hudson's Stratford Kia",4,75900
"Jim Hudson Luxury Cars Inc",10,75800
"Concord Toyota",17,75800
"Rolando Kenneth Auto",8,75700
"Apple Honda Isuzu Chrysler Plymouth",8,75700
"Acme Auto Leasing Llc",5,75700
"Grand Auto Exchange Inc",4,75700
"East Coast Toyota Scion",12,75700
"Justbettercars Com Inc",3,75550
"Schmitt Imports Llc",1,75500
"Bmw Of Fresno",3,75450
"Perfection Truck Wholesale Inc",3,75450
"Manheim Harrisonburg",18,75450
"Onemain Rem/Shak's Auto Sales Inc",10,75450
"Dick Poe Toyota",6,75300
"Grand Motors Inc",4,75300
"Primeritus Remarketing/Jc Auto World",6,75300
"Mc Grath Acura Of Westmont",4,75300
"Coast 2 Coast Auto Wholesale",3,75250
"Onemain Rem/Fastlane Automotive Enterprises",7,75200
"Westbury Imports Llc",6,75200
"Piazza Acura Vw Of Ardmore",4,75200
"Manheim Auctions",8,75200
"Driveway Leasing",5,75200
"A1a Import Export",4,75100
"Shaver Automotive Group Inc",3,74900
"Primeritus Remarketing / Pennsylvania State",9,74800
"Hyundai Inland Empire",4,74750
"Bert Ogden Motors Inc",3,74700
"Thompson Toyota Inc",3,74700
"Caparra Motor Services Inc. Dba Target Rac",6,74700
"North America Financial",9,74700
"Hendrick Chevrolet Buick Gmc Cadillac Southpoint",9,74700
"Land Rover Fort Lauderdale",11,74600
"Green Line Auto Sales",11,74550
"Larry H. Miller Toyota",9,74500
"Arrowhead Auto Sales",4,74500
"Tampa Bay Autonetwork",4,74500
"Ocean City Cars&trucks Inc",6,74450
"Jimmys Used Cars Inc",5,74400
"Sewell Cadillac-hummer",4,74350
"Downtown L A Motors",3,74350
"Perris Valley Dodge Jeep",6,74350
"U Save",8,74300
"Remarketing By Ge/Utah Power Credit Union",5,74300
"Foreign Cars International Llc",10,74250
"Metrolina Credit Co Of Charlotte Inc",19,74200
"Roy Schmidt Honda",3,74200
"Paradise Automotive Group Inc",5,74200
"Orange County's Credit Union",6,74200
"Colorado River Ford Of Kingman",7,74200
"Rollit Motors Incorporated",7,74100
"Leo Venters Motors Inc",5,74000
"Infiniti Of Omaha",7,74000
"Hi Country Chevrolet Inc",4,74000
"Pines Auto Brokers",6,74000
"Audi Reno Tahoe",3,74000
"Enterprise Vehicle Exchange/Franklin",7,73900
"Classic Dodge Chrysler Jeep",18,73850
"Kia Of Silver Spring",24,73825
"Glesby Marks Ltd",7,73800
"Crosslane Wholesale Llc",7,73800
"Fleet Street Remarketing (Heavy)",11,73800
"Autos 4 Less",5,73750
"Cannon Motors Inc",12,73725
"Zappone Chrysler Jeep Dodge Inc",6,73700
"Greenwood Remarketing",13,73700
"Remarketing By Ge/Manheim Albany",10,73600
"Alan Jay Chevrolet Cadillac Inc",3,73600
"Toyota Motor Credit Corp",3,73500
"Luxury Auto Collection Llc",2,73500
"Educational Employees Credit Union",6,73500
"Autonation Ford Memphis",6,73500
"Toyota Of Tacoma",8,73400
"Great Southern Bank",10,73400
"Carvant Financial Llc",21,73400
"Alexandria Volkswagen",4,73400
"Car Saver",9,73300
"Browns Jeep Eagle Chrysler Plymouth",6,73250
"Alan Jay Ford Lincoln",3,73200
"Awn Sales Ltd",9,73200
"Coastal Credit Corp",12,73100
"Advanced Auto Sales",10,73100
"New Rogers Pontiac Inc",5,73050
"Land Rover Orlando",1,73000
"Professionals Auto Sales Inc",6,72950
"Lafontaine Nissan Inc",12,72900
"Image Fleet & Lease Sales Llc",5,72900
"Premier Mazda",19,72850
"Autonation Ford Katy",18,72700
"Villa Motors Inc",8,72650
"Luther Brookdale Chrysler Jeep Dodge",8,72650
"Opelika Ford Inc",4,72600
"Country Chevrolet Inc",7,72600
"Larson Motors Inc",3,72500
"U F O Motorsports Llc",2,72500
"Autonation Honda Lewisville",10,72500
"Luxury Sports & Imports",5,72500
"Kalona Auto",4,72400
"Primeritus Remarketing / Universal Motors",6,72400
"Dave Syverson Ford Lin Mer",6,72400
"Global Finance Group",17,72300
"Elite Motors Inc",4,72300
"Pch Pre Owned",10,72300
"J & K Auto Gallery Inc",5,72250
"Columbia Credit Union",6,72200
"The Western Motor Co Inc",4,72100
"Border Federal Credit Union",6,72100
"Star Ford Lincoln",8,72100
"Arch Auto Sales",4,72100
"Titlemax/Balcone Heights Tx1",52,72050
"J/R Motors",2,72000
"Volvo Of Ft Myers",4,72000
"U Save Car & Truck Renta",4,72000
"J And C Inc",7,71950
"Bergeys Auto Sales And Service",14,71950
"Asbury Inventory Bank",3,71900
"Al Hendrickson Toyota",19,71800
"Huntington National Bank",9,71800
"Superior Toyota",4,71800
"Gene Steffy Ford Llc",3,71800
"Mercedes Benz Of Daytona Beach",8,71800
"Modern Financial Services",26,71750
"West Coast Acceptance",13,71650
"Roger Dean Chevrolet Inc",9,71600
"Onemain Rem/Jmp Motors Llc",9,71600
"Hou Tex Finance",5,71600
"Nissan Dealer Blend/Kings Infiniti Inc",2,71600
"Faulkner Bmw",9,71500
"Primeritus Remarketing/Lum",12,71500
"Torre Nissan",7,71400
"Porter Nissan Buick",5,71400
"Matix Motoring Inc",3,71300
"Alamo Leasing Co Inc",6,71300
"Koki Motors Inc",5,71300
"Gray Chrysler Dodge Jeep",3,71300
"Commerce Bank",7,71250
"Preston Chrysler Dodge Jeep Ram",7,71250
"Toyota Of Northwest Arkansas",4,71200
"Repo Remarketing/First Commerce Credit Union",8,71200
"Remarketing By Ge/Landmark Auto Inc",7,71200
"Priority Volkswagen",4,71150
"Classic Honda",10,71150
"Crossroads Auto Center",4,71100
"Woodbridge Motors Inc",3,71100
"Onemain Rem/Orange County Motorsports Llc",5,71100
"Bmw Of West Houston",6,71050
"Hendrick Volkswagen Lewisville",10,71000
"Ltd Automotive Llc",6,71000
"Donlen/Ray Chevrolet",6,71000
"Troy Spencer And Sons Inc",4,70900
"Autonation Chrysler Jeep West",11,70800
"Jordan Motors Inc",2,70750
"Subaru Of Spokane",23,70750
"Faulkner Honda Used Cars",15,70700
"Georges Used Car Sales Inc",4,70700
"Spire Cu",5,70700
"Remarketing By Ge/Campus Auto Retail Service",12,70600
"Prestige Auto Wholesales Corp 1",4,70600
"Sunrise Volkswagen Inc",5,70500
"Economy Honda Cars",10,70500
"Trucks & Cars For Less",5,70500
"Audi Warwick",3,70500
"Vci/Audi Mission Viejo",2,70500
"Mullers Woodfield Acura",4,70450
"Power Jda Llc",5,70400
"Ruan Car Leasing",6,70400
"Anderson Motors",2,70400
"Lithia Chrysler Jeep Dodge Of Tri-cities",10,70400
"Cal West Motors",12,70350
"Herrnstein Chrysler Inc",4,70300
"Landrover Tampa",3,70200
"Answer One Motors",6,70200
"Luxury Auto Group",5,70150
"Mercedes Benz Of Sugarland",1,70000
"Century Auto Group",13,70000
"Mick Motors Llc",4,69950
"Jim Hudson Buick Gmc & Cadillac Inc",12,69950
"Onemain Rem/Global Imports Sales Inc",12,69900
"Auffenberg Hyundai Inc",4,69900
"Steve's Mobile Detail",2,69900
"Acura Of Brookfield",7,69850
"Burnsville Toyota",11,69800
"Global Motors",9,69800
"Elrac Llc",12,69750
"Carlos Jeep Rental",3,69700
"West Hills Chrysler Jeep Dodge",6,69700
"Bill Currie Ford",9,69700
"Scarsview Plymouth Chrysler Jeep Eagle",4,69600
"Remarketing By Ge/Manheim Northstar",6,69600
"Allied Rent A Car",7,69600
"Bellco Credit Union",6,69600
"Apex Auto Wholesale - Gary",3,69600
"Archer-perdue Suzuki",5,69600
"Freeman Motor Company Inc",6,69600
"Port Lavaca Ford Inc",4,69500
"United Bank Inc",1,69500
"Carlsbad Chevrolet",3,69500
"Delray Auto Mall",4,69500
"Springfield Chrysler Auto Mart",5,69400
"Generations Bank",9,69400
"Apollo Vw Subaru",4,69300
"National Brokers",5,69240
"Cedar Rapids Toyota Inc",8,69200
"Cal Rentals",4,69200
"Onemain Rem/Us Auto Fleet Group",6,69200
"Enterprise Leasing Co. Of Georgia",22,69125
"Professional Financial Services/Raleigh",15,69100
"Molle Toyota Inc",5,69100
"Mid Atlantic Auto Inc",9,69100
"Ars/All Vehicle Leasing",3,69100
"Spc Credit Union",6,69000
"Lease Plan International",7,68900
"Remarketing By Ge/Lion's Share Fcu",7,68900
"Ed Martin Nissan Of Fishers",4,68900
"Barlow Chevrolet Oldsmobile",5,68850
"Remarketing By Ge/Dab Auto World & Leasing",3,68800
"Rental Remarketing Inc",5,68800
"Burlington Chevrolet Inc",6,68800
"Joe Ball Pontiac Gmc Commercial Trucks",5,68700
"Rehoboth Beach Motor Cars",5,68700
"Eastside Corridor Constructors",6,68700
"Onemain Rem/Alliance Motor Cars",24,68650
"Westerra Credit Union",8,68650
"Atlantic Coast Remarketing Inc/Bai",7,68600
"Max Auto Sales Inc",3,68500
Autobaun,4,68500
"Lone Star Ford",6,68350
"Walker Wholesale",12,68350
"Coastal Mitsubishi Coastal Hyundai",4,68300
"Hi-end Auto Llc",4,68300
"Scottsdale Motor Group Llc",3,68250
"Glesby Marks Leasing",10,68200
"M B Turnersville Llc",5,68200
"J F R & Associates Inc",3,68200
"Twin Motor",9,68150
"Sunset Auto",3,68100
"Center Point Energy Fleet",16,68000
"Prestige Leasing & Management Inc",3,68000
"Airpark Motorcars Llc",6,68000
"Bens Automotive Center Inc",29,67950
"Rockie Williams Premier Dod Chry Jeep",7,67800
Safco,9,67800
"Rc Motorcars",2,67750
"Myrtle Beach Tnt Auto Sales Llc",5,67700
"Arcadia Motors Inc",4,67700
"Bill Bryan Subaru",4,67700
"Queen City Motors",4,67650
"Joe Ball Gmc",6,67600
"Benchmark Auto Sales Nj Llc",10,67550
"Pattis Car Country",4,67500
"Atlantic Coast Remarketing Inc/Omcllc",6,67500
"Costa Mesa Nissan",1,67500
"Sky Motor Cars",2,67500
"Lexus Of Brookfield",1,67400
"Jmb Auto Sales",4,67400
"J R Mirizio Auto Sales",5,67400
"Kernersville Chrysler Dodge Jeep",4,67400
"Remarketing By Ge/Boeing Wichita Credit Union",13,67400
"Keweenaw Automotive Inc",4,67400
"Volvo Of Cape Cod",17,67350
"Palm Toyota",5,67300
"Plus Auto Sales Corp",13,67300
"Cowboy Finance Llc",6,67300
"World Motorsports",4,67200
"White County Ford Llc",4,67200
"Marshall Chevrolet Co",4,67200
"Primeritus Remarketing/Loan Service Center",10,67150
"Joe Rizza Ford Of Orland Park Inc",5,67150
"Pr Auto Loans Llc",41,67150
"Nations Best Auto Brokers Llc",6,67100
"Palm Springs Volvo",5,67100
"Good Car Company Inc",8,67100
"Darcars Nissan",16,67050
"Autosport Chicago Inc",1,67000
"Bill Gray Volvo",4,67000
"The Car Company Inc",3,67000
"Cali Motors",2,67000
"Bill Bunch Chevrolet Inc",2,67000
"Van Pool Hawaii Vpsi Inc",6,66850
"Remarketing By Ge/Southern Wholesale Cars",8,66800
"Ernst Auto Center Inc",3,66800
"Flexi Lease Inc",3,66800
"Remarketing By Ge/Manheim Nashville",4,66800
"Ars/Luxor Motor Cars Inc",5,66800
"Denper Group Inc.",2,66800
"Mercedes Benz Of Westminster",2,66800
"Volkswagen Of Downtown La",11,66750
"C Harper Ford Kia",4,66600
"Morris Motors Inc",3,66600
"Oxmoor Ford Lincoln Mercury",3,66600
"Remarketing By Ge/Shine Auto Brokers Inc",3,66600
"Classic Mazda",9,66550
"Tony Domiano Auto Dealerships Inc",3,66550
"Seth Wadley Ford Lincoln Mercury",3,66550
"Billy Lawrence Leasing",5,66500
"Action Finance & Leasing Corporation",1,66500
"Mercedes Benz Of Denver",4,66500
"Orr Nissan",1,66500
"A & N Auto Group Inc",6,66450
"Autonation Ford Brooksville",18,66400
"Dyer & Dyer Volvo",8,66350
"Dependable Auto Sales",5,66350
"Finishline Services",2,66300
"Rick Miller Used Cars & Rvs",6,66300
"Sds Motors",8,66200
"American Capital Asset Management",9,66150
"St Claire Cadillac/ St Claire Oldsmobile",6,66100
"Goss Dodge Inc",3,66100
"Fields Of Daytona Llc",3,66100
"Honda Of Covington",2,66050
"Nissan North America - Program",6,66000
"Symes Saab Of Pasadena",2,66000
"Granite Buick Gmc Inc",2,66000
"Apex Automotive Llc",5,65950
"Michael Hohl Subaru",3,65900
"Peruzzi Pontiac Gmc Truck Inc",4,65800
"Miller Bros",5,65700
"San Tan Ford",5,65700
Nab,8,65550
"Legends Toyota Legends Scion",5,65500
"Auto Progress Inc",5,65500
"Russell & Smith Ford Inc",5,65500
"Repo Remarketing/Unitus Community Cu",5,65400
"Braman Hyundai",4,65400
"Volvo Of Memphis",3,65400
"Coon Rapids Nissan",4,65400
"Lxm Motorcars",6,65300
"Mark Beutz Auto Sales",3,65300
"Preston Auto Company Inc",5,65300
"Eagle Motorsports Corporation",4,65300
"Mrd Investments Inc",5,65300
"695 Auto Sales & Service",12,65200
"Michaels Motorcars Inc",5,65125
"Imperial Rides",5,65000
"Atlantic Coast Remarketing Inc/Das",7,65000
"Toyota Of Surprise",3,65000
"Jimmy's Love Bug Sales",3,65000
"Thrift Investment Corporation",20,64950
"Auto Planet Superstore",5,64950
"Butler County Motor Company",3,64900
"Chaco Credit Union",8,64900
"Manheim Kansas City",5,64900
"Ideal Motors",4,64800
"Mpm Auto Traders",7,64800
"Gary Miller Chrysler Jeep Inc",3,64700
"Cox Fleet/Ari",5,64600
"Budget Rent A Car & Sales",6,64600
"Stivers Ford Lincoln",3,64550
"Pm Worldwide Rent A Car",1,64500
"Kings Volkswagen",3,64500
"First Financial Credit Union",7,64500
"Apple Ford Inc",5,64500
"Security Auto Loans Inc",35,64425
"Mercedes-benz Of Houston Greenway",12,64400
"Manheim Seattle",6,64350
"Lorenzo Bomnin Chevrolet",8,64350
"I G Burton & Co Inc",5,64300
"Fruendly Auto Source Inc",4,64300
"Beck & Masten Kia Of Tomball",13,64300
"Town And Country Motors",5,64200
"University Of Virginia Community Credit Union",9,64200
"University Of Minnesota",7,64200
"Metro Auto Wholesale Llc",3,64200
"Jrs Autobuyers Llc",8,64200
"Eastern Utah Community Credit Union",9,64125
"Taunton Fcu",8,64100
"Keith M Motors",10,64100
"Onemain Rem/No.1 Auto Sales Inc",2,64100
"Autonation Gmc Mendenhall",15,64100
"Westside Hummer Inc",4,64100
"Auto Dealer Solutions Inc",5,64100
"Marios Auto Wholesale",7,64050
"Ride & Drive Llc",9,64050
"Sunshine Autos",1,64000
"Avm Auto Sales",3,64000
"Venice Auto Mall",4,64000
"Dave's Speedway Service",4,63900
"Dow Louisiana Fcu",7,63900
"Tom Kadlec Honda",3,63900
"Manheim Houston",6,63800
"Tom Ahl Buick Inc",6,63750
"Hiland Toyota",2,63700
"Bmw Of Dayton",4,63700
"Alliance Motor Cars",16,63700
"In Line Motors",4,63700
"Remarketing By Ge/Eglin Fcu",5,63700
"Sunbelt Nissan",4,63600
"Orange Buick Gmc",3,63600
"Auto Village Llc",9,63600
"Dennis J Baglier Buick Inc",3,63500
"A.n.a Auto Sales Llc",1,63500
"Pigg Enterprises Inc",4,63500
"Primeritus Remarketing/Five Star Car And Truck",11,63500
"Palisades Dealer Funding Llc",7,63500
"Sons Acura",4,63500
"Automotive Leasing Specialist",20,63450
"Jim Hudson Toyota",9,63400
"All Season Motors Corp",3,63400
"Pritchard's Of Clear Lake Inc",2,63400
"Jay Wolfe Honda",3,63400
"Bmw Of Atlantic City",7,63350
"Remarketing By Ge/Npps Inc",3,63300
"Old Fannin Autoplex Inc",3,63300
"Lithia Nissan Of Fresno",15,63250
"Centrus Auto Finance",15,63250
"Cars Ez Llc",3,63200
"Boucher Cadillac Buick Gmc Of Waukesha",2,63200
"Nashville Chrysler Dodge Jeep Ram",3,63200
"Mark Toyota Of Plover",4,63200
"Repo Remarketing/Skyone Fcu",5,63150
"Whitewater Motors Inc",4,63150
"Tom Griffiths Autos Wholesale",3,63000
"Foreman Financial",10,63000
"Carolina Farm Credit",5,63000
"Kars Forever",10,63000
"Auto Network Group Of Arizona",2,63000
"Lake Norman Infiniti",3,63000
"Dulles Jeep Kia Subaru",4,62900
"Dollar Thrifty/Tra",8,62900
Faa/Dt,11,62900
"Houston Distributing",5,62900
"Zeigler Chevrolet-schaumburg Llc",5,62900
"Titlemax/San Antonio Tx24",39,62800
"Red Bank Volvo Inc",16,62800
"Cherokee Hyundai Of Kennesaw",3,62700
"Kia Of Bedford",9,62700
"Fredericktowne Motors Inc",6,62700
"Repo Remarketing/Pacific Marine Credit Union",9,62650
"Princeton Bmw",10,62600
"Toyota Financial Services Cfg",3,62400
"Oceanside Auto Center Inc",3,62400
"All Out Powersports",1,62400
"David Ragan Ford",2,62400
"Ultra Auto Enterprise Inc",10,62400
"Universal Motor Credit",20,62375
"Imans Imports",6,62350
"Porsche Of Arlington",2,62300
"Crown Chrysler Dodge Jeep",12,62300
"Chilson Chrysler Dodge Llc",4,62300
"143 Auto Sales Inc",8,62300
"Fiserv/Us Bank",3,62300
"Wyatt Johnson Automotive Group Inc",3,62300
"City Finance Inc",14,62250
"Cardinaleway Volkswagen",6,62200
"Bmw Of Silver Spring",3,62200
"Jim Marsh Mitsubishi Suzuki Kia",7,62100
"Auto House Of Salisbury Inc",32,62100
"Schumacher Chevrolet Of Clifton",6,62100
"Superior Chevrolet",12,62000
"Morries Subaru",5,62000
"Winner Dover Llc",5,62000
"Communication Fcu",7,62000
"Larry H. Miller Chevrolet",1,62000
"United Consumer Finance",15,61950
"Lou Fusz Kia",3,61900
"Central Florida Automotive Group Llc",3,61900
"Laclede Gas",18,61850
"Bredemann Chevrolet",4,61800
"Bales Motor Company Inc",4,61800
"Remarketing By Ge/Public Service Credit Union",6,61800
"Performance Nissan",2,61800
"Volkswagen Of Gainesville",4,61800
"Premium Auto Group Llc",5,61750
"Super Car Co Inc",3,61750
"Crevier Bmw",2,61750
"Chris Scott Motors",2,61750
"Mercedes Benz Of Walnut Creek",13,61700
"Nelson Automotive Ltd",2,61700
"Ooak Motor Group",2,61600
"Manheim San Diego",7,61600
"S & P Auto Leasing",3,61600
"Amg Auto Traders",4,61550
"Dragon Auto Group Inc",2,61500
"Max Cars",2,61500
"Peruzzi Mazda",7,61400
"Barley Chase Chevrolet Buick Inc",3,61200
"Centerone/Southeast Toyota Distributors",3,61100
"Island Lincoln Mercury Inc",1,61000
"O Hara Motors Inc",8,61000
"Auto Row Sales Center Inc",2,61000
"Napleton Auto Werks Of Ind",4,61000
"Fields Imports Inc",3,60950
"Mike Albert Leasing Inc",7,60900
"Financial One Credit Union",9,60850
"Auto Sales & Services Inc",4,60850
"Permian Toyota",4,60800
